Gene	Root	Stamen	Pistil	Leaf	Perisperm	Endosperm
Cc01t01300.1	20.9	7.0	21.8	16.9	7.5	15.7
Cc01t01310.1	0.0	10.1	19.7	117.4	247.9	3.3
Cc01t01320.1	0.0	12.7	12.1	84.6	4.1	0.4
Cc01t01330.1	1.9	3.3	7.5	1.5	5.0	4.9
Cc01t01340.1	3.4	0.0	0.0	2.8	2.6	2.3
Cc01t01350.1	10.6	5.2	6.2	9.8	7.8	13.0
Cc01t01360.1	11.6	1.2	0.5	6.4	1.1	3.5
Cc01t01370.1	2.7	2.4	3.0	5.7	3.4	3.1
Cc01t01380.1	0.2	0.2	13.1	0.5	1.0	2.1
Cc01t01390.1	12.0	6.8	9.2	12.7	2.5	4.9
Cc01t01400.1	6.0	1.7	1.4	4.3	5.1	6.0
Cc01t01410.1	1.3	4.0	2.1	0.7	4.5	3.7
Cc01t01420.1	0.3	0.1	0.6	15.4	3.9	1.7
Cc01t01430.1	32.8	11.5	10.5	17.5	11.6	23.2
Cc01t01440.1	3.8	0.1	0.3	9.1	10.7	0.9
Cc01t01450.1	0.5	0.1	0.0	1.8	0.1	0.5
Cc01t01460.1	1.0	0.5	0.0	0.7	0.1	0.3
Cc01t01470.1	0.7	0.0	0.1	0.1	0.2	0.2
Cc01t01480.1	0.7	0.0	0.0	0.0	0.1	0.1
Cc01t01490.1	25.0	10.5	7.6	41.2	13.5	10.8
Cc01t01500.1	0.0	0.0	0.0	0.0	0.1	0.1
Cc01t01510.1	10.3	0.1	6.8	11.4	0.0	0.2
Cc01t01520.1	68.5	2.2	66.8	196.9	7.3	8.2
Cc01t01530.1	20.2	0.1	2.5	1.7	3.1	4.2
Cc01t01540.1	65.6	9.2	8.2	31.0	9.3	17.7
Cc01t01550.1	27.7	4.1	22.3	21.7	42.8	27.0
Cc01t01560.1	0.3	0.2	1.7	0.5	1.8	0.3
Cc01t01570.1	0.0	0.0	0.0	0.0	1.7	1.0
Cc01t01580.1	5.9	0.0	0.2	0.0	0.2	1.0
Cc01t01590.1	12.4	1.0	0.3	2.1	0.2	1.4
Cc01t01600.1	13.0	0.2	0.2	22.0	1.3	0.3
Cc01t01610.1	5.0	2.1	1.7	5.8	3.0	0.7
Cc01t01620.1	0.3	1.0	0.0	0.5	3.6	0.9
Cc01t01630.1	18.9	7.7	7.9	16.4	10.9	14.6
Cc01t01640.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01650.1	23.3	9.2	10.4	17.7	10.0	15.8
Cc01t01660.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t01670.1	19.2	0.6	0.8	4.0	1.5	1.9
Cc01t01680.1	43.5	5.5	1.9	5.6	4.2	11.2
Cc01t01690.1	8.6	0.7	0.0	0.6	0.3	1.4
Cc01t01700.1	3.6	0.1	0.4	3.9	0.4	0.7
Cc01t01710.1	1.2	0.4	0.1	1.9	0.1	0.2
Cc01t01720.1	2.0	0.1	0.0	1.6	0.2	0.2
Cc01t01730.1	2.7	0.2	0.0	1.7	0.4	0.3
Cc01t01740.1	0.0	0.0	0.0	0.0	0.1	0.0
Cc01t01750.1	6.4	0.5	0.5	2.7	1.5	0.9
Cc01t01760.1	162.0	15.3	18.3	63.4	12.8	21.4
Cc01t01770.1	42.4	2.7	3.1	18.8	5.8	4.4
Cc01t01780.1	36.2	4.1	10.2	5.6	15.8	19.9
Cc01t01790.1	5.8	0.9	0.3	3.8	1.5	0.7
Cc01t01800.1	10.3	0.4	0.6	3.5	1.5	0.7
Cc01t01810.1	76.5	17.7	34.6	57.2	34.4	36.7
Cc01t01820.1	2.4	0.6	0.2	6.4	1.5	0.1
Cc01t01830.1	140.6	25.5	39.2	134.7	94.1	11.6
Cc01t01840.1	2.6	0.0	0.1	24.3	1.4	0.1
Cc01t01850.1	38.0	12.9	4.5	41.3	8.4	62.4
Cc01t01860.1	26.5	13.5	16.7	14.4	25.7	48.6
Cc01t01870.1	2.1	0.7	0.4	1.0	3.0	13.2
Cc01t01880.1	1.0	0.4	0.0	2.4	33.3	0.2
Cc01t01890.1	0.0	0.7	0.6	0.6	0.8	0.6
Cc01t01900.1	0.5	0.0	3.3	0.5	0.2	6.6
Cc01t01910.1	0.0	0.2	144.8	0.1	0.0	0.0
Cc01t01920.1	0.0	1.4	0.2	0.0	1.2	18.7
Cc01t01930.1	0.0	0.3	0.3	0.0	1.1	1.2
Cc01t01940.1	0.0	0.0	0.0	0.0	0.5	3.9
Cc01t01950.1	8.3	12.2	151.5	81.0	0.8	0.4
Cc01t01960.1	5.0	10.9	2.9	20.2	0.3	0.1
Cc01t01970.1	0.4	1.2	1.3	11.4	0.0	0.6
Cc01t01980.1	37.1	39.5	19.0	13.4	46.7	112.8
Cc01t01990.1	5.3	1.1	3.9	2.0	1.7	2.2
Cc01t02000.1	5.3	3.7	6.4	1.9	3.9	10.6
Cc01t02010.1	18.2	1.5	6.0	39.7	4.6	4.1
Cc01t02020.1	3.2	0.1	0.3	3.7	0.2	0.2
Cc01t02030.1	0.0	0.0	0.6	6.5	0.5	0.9
Cc01t02040.1	36.7	2.8	60.1	210.0	22.0	5.6
Cc01t02050.1	24.8	9.2	22.6	14.1	27.1	43.5
Cc01t02060.1	1.2	0.0	0.0	0.0	0.0	0.0
Cc01t02070.1	0.3	0.3	0.0	0.0	0.0	0.1
Cc01t02080.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02090.1	0.5	0.3	0.0	0.0	0.0	0.0
Cc01t02100.1	5.4	0.0	0.0	0.0	0.0	0.0
Cc01t02110.1	17.5	0.0	0.0	0.0	0.0	0.0
Cc01t02120.1	63.4	8.3	12.1	28.0	9.6	43.0
Cc01t02130.1	0.9	1.8	10.0	23.3	4.2	2.9
Cc01t02140.1	6.0	4.6	229.6	16.2	27.0	18.3
Cc01t02150.1	101.0	52.9	112.5	71.8	235.4	143.6
Cc01t02160.1	11.9	18.8	13.9	30.2	20.9	4.7
Cc01t02170.1	5.6	2.0	1.9	9.4	4.5	1.0
Cc01t02180.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02190.1	0.3	0.0	0.0	0.0	0.1	0.3
Cc01t02200.1	0.3	0.0	0.7	0.7	1.2	1.6
Cc01t02210.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02220.1	0.8	0.3	0.1	0.2	0.0	0.1
Cc01t02230.1	0.0	0.0	0.0	0.0	0.0	0.0
Cc01t02240.1	0.6	0.0	0.0	0.9	0.0	0.1
Cc01t02250.1	1.0	0.0	0.0	1.4	0.2	0.1
Cc01t02260.1	1.7	0.4	0.0	0.7	0.0	0.3
Cc01t02270.1	0.8	0.2	0.0	0.0	0.0	0.1
Cc01t02280.1	5.5	0.2	0.4	13.8	0.5	1.2
Cc01t02290.1	8.0	3.7	3.5	23.4	1.0	1.9
Cc01t02300.1	0.7	0.0	0.2	0.6	1.7	1.9
Cc01t02310.1	5.6	0.0	0.2	1.2	0.8	1.0
