PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
63	3K-IRRI	IRGC 126249	N 22::IRGC 46459-1	IRGC 46459	India				IRIS 313-10150	aus
64	3K-IRRI	IRGC 126003	RD 15::IRGC 47705-1	IRGC 47705	Thailand				IRIS 313-10151	ind3
65	3K-IRRI,RDP2sim	IRGC 125798	KETAN MENAH::IRGC 48733-1	IRGC 48733	Indonesia				IRIS 313-10152	trop1
66	3K-IRRI	IRGC 125760	HE GU TSAO::IRGC 51302-1	IRGC 51302	China				IRIS 313-10154	ind1A
67	3K-IRRI	IRGC 126080	PICO NEGRO::IRGC 55849-1	IRGC 55849	Ecuador				IRIS 313-10158	indx
68	3K-IRRI,RDP2sim	IRGC 125691	BR IRGA 409::IRGC 55915-1	IRGC 55915	Brazil				IRIS 313-10161	ind1B
69	3K-IRRI	IRGC 125757	HAN NUO::IRGC 59591-1	IRGC 59591	China				IRIS 313-10164	temp
70	3K-IRRI	IRGC 125773	IR 13429-109-2-2-1::IRGC 63491-1	IRGC 63491	Philippines				IRIS 313-10167	indx
71	3K-IRRI	IRGC 125836	MEI FENG 9::IRGC 63735-1	IRGC 63735	China				IRIS 313-10168	indx
72	3K-IRRI	IRGC 125842	MIN ZAO 6::IRGC 63772-1	IRGC 63772	China				IRIS 313-10170	ind1A
73	3K-IRRI	IRGC 125944	YA NONG ZAO 4::IRGC 63908-1	IRGC 63908	China				IRIS 313-10171	ind1A
74	3K-IRRI,RDP2sim	IRGC 125848	NAM ROO::IRGC 66996-1	IRGC 66996	Thailand				IRIS 313-10176	trop2
75	3K-IRRI	IRGC 125719	DA GANG ZHAN::IRGC 67103-1	IRGC 67103	China				IRIS 313-10177	indx
76	3K-IRRI	IRGC 125748	GAO JIAO BAI::IRGC 68047-1	IRGC 68047	China				IRIS 313-10178	ind1A
77	3K-IRRI	IRGC 125755	GUI HUA ZAO::IRGC 68060-1	IRGC 68060	China				IRIS 313-10179	indx
78	3K-IRRI	IRGC 125723	DA NUO (ZHAN)::IRGC 72025-1	IRGC 72025	China				IRIS 313-10189	ind1A
79	3K-IRRI	IRGC 125726	DENG DENG QI::IRGC 72036-1	IRGC 72036	China				IRIS 313-10190	ind1A
80	3K-IRRI	IRGC 125841	MIN KE ZHAN::IRGC 72230-1	IRGC 72230	China				IRIS 313-10191	ind1A
81	3K-IRRI		GUO DI HEI::IRGC 72697-1	IRGC 72697	China				IRIS 313-10196	trop1
82	3K-IRRI	IRGC 125669	BAI HE::IRGC 76438-1	IRGC 76438	China				IRIS 313-10211	ind1A
83	3K-IRRI	IRGC 126203	EPEAL 102::IRGC 78698-1	IRGC 78698	Brazil				IRIS 313-10220	indx
84	3K-IRRI	IRGC 125663	BA BAI GU::IRGC 79580-1	IRGC 79580	China				IRIS 313-10221	indx
85	3K-IRRI	IRGC 125766	HUA LI ZAO::IRGC 80950-1	IRGC 80950	China				IRIS 313-10224	ind1A
86	3K-IRRI	IRGC 125925	TONG GU HONG::IRGC 81026-1	IRGC 81026	China				IRIS 313-10226	indx
87	3K-IRRI	IRGC 125758	HAN NUO::IRGC 82350-1	IRGC 82350	China				IRIS 313-10228	temp
88	3K-IRRI	IRGC 125873	PSBRC 50::IRGC 99706-1	IRGC 99706	Philippines				IRIS 313-10234	ind1B
89	3K-IRRI	IRGC 125874	PSBRC 68::IRGC 99711-1	IRGC 99711	Philippines				IRIS 313-10235	indx
