PANEL	Genetic_Stock_Acc	GS_IRIS_varname	Source_accno	Country_Origin (ISO standard)	Orytage	IN-PRAY	TJ-PRAY	3K_DNA_IRIS_UNIQUE_ID	TYPE	
1285	3K-IRRI	IRGC 127378	GAO JIAO YING GAN ZHAN::IRGC 68053-1	IRGC 68053	China				IRIS 313-11748	indx
1286	3K-IRRI	IRGC 127538	L 10595::IRGC 68109-1	IRGC 68109	China				IRIS 313-11750	indx
1287	3K-IRRI	IRGC 127539	L 10833::IRGC 68121-1	IRGC 68121	China				IRIS 313-11751	indx
1288	3K-IRRI	IRGC 127584	M 6034-1::IRGC 68193-1	IRGC 68193	China				IRIS 313-11752	ind1A
1289	3K-IRRI	IRGC 127894	XIANG CHANG ZAO::IRGC 68268-1	IRGC 68268	China				IRIS 313-11753	ind1A
1290	3K-IRRI	IRGC 128214	AMBOHIMANDAY::IRGC 68330-1	IRGC 68330	Madagascar				IRIS 313-11754	admix
1291	3K-IRRI		A 2-257::IRGC 68342-1	IRGC 68342	Liberia				IRIS 313-11755	trop1
1292	3K-IRRI		BENGALI VAKAHANA 1448::IRGC 68370-1	IRGC 68370	Madagascar				IRIS 313-11756	trop1
1293	3K-IRRI		BORIZINA 640::IRGC 68382-1	IRGC 68382	Madagascar				IRIS 313-11757	ind3
1294	3K-IRRI		FOFFI::IRGC 68438-1	IRGC 68438	Cote d'Ivoire				IRIS 313-11758	ind2
1295	3K-IRRI		K 2 C 45::IRGC 68552-1	IRGC 68552	Cote d'Ivoire				IRIS 313-11759	trop1
1296	3K-IRRI	IRGC 127623	MENAHARA 505::IRGC 68709-1	IRGC 68709	Madagascar				IRIS 313-11760	ind2
1297	3K-IRRI	IRGC 127683	NS 199::IRGC 68864-1	IRGC 68864	Cote d'Ivoire				IRIS 313-11761	ind2
1298	3K-IRRI	IRGC 127682	NS 1515::IRGC 68947-1	IRGC 68947	Madagascar				IRIS 313-11762	ind2
1299	3K-IRRI	IRGC 127734	PJ 110::IRGC 68981-1	IRGC 68981	Cameroon				IRIS 313-11763	indx
1300	3K-IRRI	IRGC 127697	P 41::IRGC 68987-1	IRGC 68987	Liberia				IRIS 313-11764	ind3
1301	3K-IRRI	IRGC 127696	P 335::IRGC 69001-1	IRGC 69001	Liberia				IRIS 313-11765	aro
1302	3K-IRRI	IRGC 128490	TSIMIAKABIJA::IRGC 69074-1	IRGC 69074	Madagascar				IRIS 313-11766	admix
1303	3K-IRRI	IRGC 128496	VARY LAVA DE BOLOGNE::IRGC 69101-1	IRGC 69101	Madagascar				IRIS 313-11767	admix
1304	3K-IRRI	IRGC 128452	ROJON'NY NTAOLO::IRGC 69410-1	IRGC 69410	Madagascar				IRIS 313-11772	ind2
1305	3K-IRRI		AUS 78-125::IRGC 69464-1	IRGC 69464	Gambia				IRIS 313-11773	ind3
1306	3K-IRRI	IRGC 127500	KATUMANI::IRGC 69695-1	IRGC 69695	Tanzania				IRIS 313-11779	ind3
1307	3K-IRRI	IRGC 127524	KILOMBERO::IRGC 69698-1	IRGC 69698	Tanzania				IRIS 313-11780	ind3
1308	3K-IRRI	IRGC 128376	MALAGASY::IRGC 69717-1	IRGC 69717	Zambia				IRIS 313-11782	ind2
1309	3K-IRRI		MAMA TABALI::IRGC 69720-1	IRGC 69720	Gambia				IRIS 313-11783	indx
1310	3K-IRRI	IRGC 127619	MBEIMBEIHUN::IRGC 69730-1	IRGC 69730	Sierra Leone				IRIS 313-11784	ind1B
1311	3K-IRRI	IRGC 127631	MOSHI::IRGC 69737-1	IRGC 69737	Tanzania				IRIS 313-11785	ind3
1312	3K-IRRI	IRGC 128411	N'YA NOFF::IRGC 69749-1	IRGC 69749	Gambia				IRIS 313-11786	ind3
1313	3K-IRRI	IRGC 127845	TANDAKAY FINGO::IRGC 69793-1	IRGC 69793	Gambia				IRIS 313-11787	ind2
1314	3K-IRRI	IRGC 127247	CANLUBANG::IRGC 69816-1	IRGC 69816	Philippines				IRIS 313-11788	japx
1315	3K-IRRI	IRGC 127774	SABORAMANDALOAFO::IRGC 69875-1	IRGC 69875	Madagascar				IRIS 313-11789	ind2
1316	3K-IRRI	IRGC 127883	VARIRANGAHY::IRGC 69897-1	IRGC 69897	Madagascar				IRIS 313-11790	trop1
1317	3K-IRRI	IRGC 127885	VARY LAHY::IRGC 69908-1	IRGC 69908	Madagascar				IRIS 313-11791	ind2
1318	3K-IRRI	IRGC 128498	VONBOANGY::IRGC 69947-1	IRGC 69947	Madagascar				IRIS 313-11792	trop1
1319	3K-IRRI	IRGC 128350	KOMALIOKO::IRGC 69958-1	IRGC 69958	Madagascar				IRIS 313-11793	ind2
1320	3K-IRRI	IRGC 127867	TSIPALA MENAHAR::IRGC 69979-1	IRGC 69979	Madagascar				IRIS 313-11794	ind2
1321	3K-IRRI	IRGC 127291	DA GU AI 7::IRGC 70075-1	IRGC 70075	China				IRIS 313-11795	ind1A
1322	3K-IRRI	IRGC 127345	DU GEN CHUAN::IRGC 70083-1	IRGC 70083	China				IRIS 313-11796	ind1A
1323	3K-IRRI	IRGC 128289	E ZI 32::IRGC 70127-1	IRGC 70127	China				IRIS 313-11797	ind1A
1324	3K-IRRI	IRGC 127365	E ZI 100::IRGC 70192-1	IRGC 70192	China				IRIS 313-11798	ind1B
1325	3K-IRRI	IRGC 127366	E ZI 110::IRGC 70201-1	IRGC 70201	China				IRIS 313-11799	ind1A
1326	3K-IRRI		FAN GENG 6::IRGC 70243-1	IRGC 70243	China				IRIS 313-11800	temp
1327	3K-IRRI	IRGC 127368	FAN WU::IRGC 70245-1	IRGC 70245	China				IRIS 313-11801	indx
1328	3K-IRRI	IRGC 127460	JIE CAO ZHAN::IRGC 70305-1	IRGC 70305	China				IRIS 313-11802	ind1A
1329	3K-IRRI	IRGC 127608	MAO ZHA NUO::IRGC 70335-1	IRGC 70335	China				IRIS 313-11803	temp
1330	3K-IRRI	IRGC 128441	QUN XUAN ZAO::IRGC 70371-1	IRGC 70371	China				IRIS 313-11804	ind1A
1331	3K-IRRI	IRGC 127895	XI HONG GU::IRGC 70416-1	IRGC 70416	China				IRIS 313-11805	ind1A
1332	3K-IRRI	IRGC 127101	78 XUAN WU::IRGC 70475-1	IRGC 70475	China				IRIS 313-11806	ind1A
1333	3K-IRRI	IRGC 127757	R 582::IRGC 70504-1	IRGC 70504	Colombia				IRIS 313-11807	indx
1334	3K-IRRI	IRGC 128444	R 762::IRGC 70531-1	IRGC 70531	Colombia				IRIS 313-11808	indx
1335	3K-IRRI	IRGC 128387	MHARAKA::IRGC 70612-1	IRGC 70612	Kenya				IRIS 313-11809	aus
1336	3K-IRRI		PULURE::IRGC 70647-1	IRGC 70647	Kenya				IRIS 313-11810	ind3
1337	3K-IRRI	IRGC 127632	MOSHI::IRGC 70648-1	IRGC 70648	Kenya				IRIS 313-11811	ind2
1338	3K-IRRI	IRGC 127175	ASFALA::IRGC 70650-1	IRGC 70650	Kenya				IRIS 313-11812	ind3
1339	3K-IRRI		ZERO::IRGC 70707-2	IRGC 70707	Kenya				IRIS 313-11813	ind3
1340	3K-IRRI	IRGC 127523	KIKUBA::IRGC 70722-1	IRGC 70722	Kenya				IRIS 313-11814	ind3
1341	3K-IRRI	IRGC 127633	MOSHI::IRGC 70730-1	IRGC 70730	Kenya				IRIS 313-11815	ind3
1342	3K-IRRI	IRGC 127493	KARILETYONE::IRGC 70745-1	IRGC 70745	Myanmar				IRIS 313-11816	indx
1343	3K-IRRI	IRGC 128085	KHAOSAING::IRGC 70746-2	IRGC 70746	Myanmar				IRIS 313-11817	indx
1344	3K-IRRI	IRGC 128361	LETYONE::IRGC 70753-1	IRGC 70753	Myanmar				IRIS 313-11818	indx
1345	3K-IRRI		PADINTHUMA::IRGC 70762-2	IRGC 70762	Myanmar				IRIS 313-11819	ind3
1346	3K-IRRI	IRGC 127709	PAKISTANHMWE::IRGC 70763-1	IRGC 70763	Myanmar				IRIS 313-11820	ind3
1347	3K-IRRI	IRGC 127096	19::IRGC 70786-1	IRGC 70786	India				IRIS 313-11821	ind2
1348	3K-IRRI		BHONDU PAREWA::IRGC 70802-1	IRGC 70802	India				IRIS 313-11822	ind2
1349	3K-IRRI	IRGC 127223	BHU BHUSI::IRGC 70803-1	IRGC 70803	India				IRIS 313-11823	ind2
1350	3K-IRRI	IRGC 127317	DHANIYA PHOOL::IRGC 70811-1	IRGC 70811	India				IRIS 313-11824	ind2
1351	3K-IRRI		HANSRAJ::IRGC 70836-1	IRGC 70836	India				IRIS 313-11825	aro
1352	3K-IRRI	IRGC 128309	HIRA NAKHI::IRGC 70840-1	IRGC 70840	India				IRIS 313-11826	aro
1353	3K-IRRI		KARI GURMATIA::IRGC 70850-1	IRGC 70850	India				IRIS 313-11827	ind2
1354	3K-IRRI	IRGC 127544	LALI GURMATIA::IRGC 70854-1	IRGC 70854	India				IRIS 313-11828	ind2
1355	3K-IRRI	IRGC 128396	MUNJI::IRGC 70928-1	IRGC 70928	Pakistan				IRIS 313-11829	temp
1356	3K-IRRI		KANDEKE YAIGAITI::IRGC 70961-1	IRGC 70961	Gambia				IRIS 313-11830	ind3
1357	3K-IRRI		KHAO' DAENG HAWM::IRGC 71001-1	IRGC 71001	Thailand				IRIS 313-11831	trop2
1358	3K-IRRI		AE WAWNG POO DOO::IRGC 71007-1	IRGC 71007	Thailand				IRIS 313-11832	trop2
1359	3K-IRRI		BOO MAE::IRGC 71058-1	IRGC 71058	Thailand				IRIS 313-11833	ind3
1360	3K-IRRI	IRGC 128246	BUENG MONG LENG WE::IRGC 71088-1	IRGC 71088	Thailand				IRIS 313-11834	trop2
1361	3K-IRRI	IRGC 128287	E NOI NAH::IRGC 71138-1	IRGC 71138	Thailand				IRIS 313-11835	indx
1362	3K-IRRI		KHAO KO RAOH::IRGC 71208-1	IRGC 71208	Thailand				IRIS 313-11836	ind3
1363	3K-IRRI	IRGC 127514	KHAO NAHNG PRUNG::IRGC 71220-1	IRGC 71220	Thailand				IRIS 313-11837	ind3
1364	3K-IRRI		LEUM DERN::IRGC 71288-1	IRGC 71288	Thailand				IRIS 313-11838	ind3
1365	3K-IRRI	IRGC 127637	MUAY::IRGC 71318-1	IRGC 71318	Thailand				IRIS 313-11839	ind3
1366	3K-IRRI		NIAW NAHK KRAD::IRGC 71352-1	IRGC 71352	Thailand				IRIS 313-11840	ind3
1367	3K-IRRI	IRGC 127679	NIAW NARAI::IRGC 71353-1	IRGC 71353	Thailand				IRIS 313-11841	ind3
1368	3K-IRRI		NIAW YUANG KHANUN::IRGC 71362-1	IRGC 71362	Thailand				IRIS 313-11842	ind3
1369	3K-IRRI		PAN DAWK MAHK::IRGC 71380-1	IRGC 71380	Thailand				IRIS 313-11843	ind3
1370	3K-IRRI	IRGC 127745	PUEY TAW::IRGC 71405-1	IRGC 71405	Thailand				IRIS 313-11844	ind3
1371	3K-IRRI		SING SAI::IRGC 71442-2	IRGC 71442	Thailand				IRIS 313-11845	trop2
1372	3K-IRRI		TON TIA GUAY NU::IRGC 71467-1	IRGC 71467	Thailand				IRIS 313-11846	trop2
1373	3K-IRRI		PULUT BURUNG::IRGC 71655-1	IRGC 71655	Malaysia				IRIS 313-11848	ind3
1374	3K-IRRI	IRGC 128439	PULUT SELEMYAM::IRGC 71820-1	IRGC 71820	Malaysia				IRIS 313-11849	ind3
1375	3K-IRRI		SESAT JADI::IRGC 71834-1	IRGC 71834	Malaysia				IRIS 313-11850	ind3
1376	3K-IRRI		DUNA AL::IRGC 71842-1	IRGC 71842	Philippines				IRIS 313-11851	trop1
1377	3K-IRRI	IRGC 127202	BAI MI ZAI 7::IRGC 71940-1	IRGC 71940	China				IRIS 313-11852	ind1A
1378	3K-IRRI	IRGC 127242	BU ZHI MING::IRGC 71971-1	IRGC 71971	China				IRIS 313-11853	ind1A
1379	3K-IRRI	IRGC 127276	CHI GU::IRGC 71988-1	IRGC 71988	China				IRIS 313-11854	ind1A
1380	3K-IRRI	IRGC 127292	DA GUAN YIN ZHAN::IRGC 72006-1	IRGC 72006	China				IRIS 313-11855	ind1A
1381	3K-IRRI	IRGC 127293	DA HEI GU::IRGC 72009-1	IRGC 72009	China				IRIS 313-11856	ind1A
1382	3K-IRRI	IRGC 127294	DA LI BAI 63::IRGC 72016-1	IRGC 72016	China				IRIS 313-11857	ind1A
1383	3K-IRRI	IRGC 127300	DA TIE ZHAN::IRGC 72029-1	IRGC 72029	China				IRIS 313-11858	ind1A
1384	3K-IRRI	IRGC 127339	DONG DU::IRGC 72037-1	IRGC 72037	China				IRIS 313-11859	ind1A
1385	3K-IRRI	IRGC 127394	GUA PAI GU::IRGC 72078-1	IRGC 72078	China				IRIS 313-11860	ind1A
1386	3K-IRRI	IRGC 127405	HEI YAN ZHAN::IRGC 72090-1	IRGC 72090	China				IRIS 313-11861	ind1A
1387	3K-IRRI	IRGC 127406	HENG YE ZAO::IRGC 72092-1	IRGC 72092	China				IRIS 313-11862	ind1A
1388	3K-IRRI	IRGC 127413	HONG DU BAI::IRGC 72098-1	IRGC 72098	China				IRIS 313-11863	ind1A
1389	3K-IRRI	IRGC 127423	HUO QING::IRGC 72148-1	IRGC 72148	China				IRIS 313-11865	ind1A
1390	3K-IRRI	IRGC 127458	JIANG ER ZAO::IRGC 72152-1	IRGC 72152	China				IRIS 313-11866	ind1A
1391	3K-IRRI	IRGC 127503	KE SHU BAI::IRGC 72183-1	IRGC 72183	China				IRIS 313-11867	ind1A
1392	3K-IRRI	IRGC 127569	LIU LI YOU::IRGC 72198-1	IRGC 72198	China				IRIS 313-11868	ind1A
1393	3K-IRRI	IRGC 127615	MA WEI ZHAN::IRGC 72220-1	IRGC 72220	China				IRIS 313-11869	ind1A
1394	3K-IRRI		NAN JING XIAO DAO::IRGC 72236-2	IRGC 72236	China				IRIS 313-11870	ind1A
1395	3K-IRRI	IRGC 127787	SAN ZHAO QI::IRGC 72289-1	IRGC 72289	China				IRIS 313-11871	ind1A
1396	3K-IRRI	IRGC 127858	TIE ZHONG::IRGC 72321-1	IRGC 72321	China				IRIS 313-11872	ind1A
1397	3K-IRRI	IRGC 128262	CHUBU 17::IRGC 72505-1	IRGC 72505	Japan				IRIS 313-11875	temp
1398	3K-IRRI	IRGC 127113	AI DA::IRGC 72567-1	IRGC 72567	China				IRIS 313-11876	ind1A
1399	3K-IRRI	IRGC 127125	AN NAN ZAO::IRGC 72576-1	IRGC 72576	China				IRIS 313-11877	ind1A
1400	3K-IRRI	IRGC 127203	BAI RI XIAN::IRGC 72588-1	IRGC 72588	China				IRIS 313-11878	ind1A
1401	3K-IRRI	IRGC 127570	LIU TIAO XIAN::IRGC 72758-1	IRGC 72758	China				IRIS 313-11881	ind1A
1402	3K-IRRI	IRGC 127605	MAN TIAN QING::IRGC 72776-1	IRGC 72776	China				IRIS 313-11882	ind1A
1403	3K-IRRI	IRGC 127857	TIAN DAO DAO::IRGC 72837-1	IRGC 72837	China				IRIS 313-11884	ind1A
1404	3K-IRRI	IRGC 127899	YANG WAN XIAN::IRGC 72886-1	IRGC 72886	China				IRIS 313-11885	ind1A
1405	3K-IRRI	IRGC 127439	IR 4683-54-2::IRGC 72992-1	IRGC 72992	Philippines				IRIS 313-11886	ind1B
1406	3K-IRRI	IRGC 127434	IR 19058-107-1::IRGC 72997-1	IRGC 72997	Philippines				IRIS 313-11887	ind1B
1407	3K-IRRI	IRGC 127488	KANGRI::IRGC 73104-1	IRGC 73104	Pakistan				IRIS 313-11888	aus
1408	3K-IRRI	IRGC 127639	MURGI BRINJ::IRGC 73109-1	IRGC 73109	Pakistan				IRIS 313-11889	indx
1409	3K-IRRI	IRGC 128252	C 722323::IRGC 73147-1	IRGC 73147	Taiwan				IRIS 313-11890	temp
1410	3K-IRRI		HO MOK::IRGC 73171-1	IRGC 73171	Thailand				IRIS 313-11892	trop2
1411	3K-IRRI	IRGC 127519	KHAU DANH::IRGC 73201-1	IRGC 73201	Viet Nam				IRIS 313-11893	indx
1412	3K-IRRI	IRGC 128368	LOC TRANG MUON::IRGC 73216-1	IRGC 73216	Viet Nam				IRIS 313-11894	indx
1413	3K-IRRI		BA TUC RAN::IRGC 73239-1	IRGC 73239	Viet Nam				IRIS 313-11895	ind3
1414	3K-IRRI		CA HIM::IRGC 73246-1	IRGC 73246	Viet Nam				IRIS 313-11896	ind3
1415	3K-IRRI	IRGC 128431	PHIT CHZK::IRGC 73317-1	IRGC 73317	Thailand				IRIS 313-11897	trop2
1416	3K-IRRI	IRGC 127617	MA YOO::IRGC 73507-1	IRGC 73507	Thailand				IRIS 313-11898	ind3
1417	3K-IRRI	IRGC 128373	MAHA CHAI::IRGC 73517-1	IRGC 73517	Thailand				IRIS 313-11899	indx
1418	3K-IRRI	IRGC 128435	PLE LIA::IRGC 73562-1	IRGC 73562	Thailand				IRIS 313-11900	trop2
1419	3K-IRRI		TI NGI::IRGC 73620-1	IRGC 73620	Thailand				IRIS 313-11901	ind3
1420	3K-IRRI	IRGC 127251	CEMPO TURI::IRGC 73667-1	IRGC 73667	Indonesia				IRIS 313-11902	ind3
1421	3K-IRRI	IRGC 128351	KOMPIT::IRGC 73716-1	IRGC 73716	Indonesia				IRIS 313-11903	trop1
1422	3K-IRRI		PADI SIRANDAH KUNING::IRGC 73762-1	IRGC 73762	Indonesia				IRIS 313-11904	ind3
1423	3K-IRRI		PAYO TINGGI::IRGC 73778-1	IRGC 73778	Indonesia				IRIS 313-11905	ind3
1424	3K-IRRI		SULUS BALOK::IRGC 73862-1	IRGC 73862	Indonesia				IRIS 313-11906	trop1
1425	3K-IRRI	IRGC 128486	TINAROH::IRGC 73874-1	IRGC 73874	Indonesia				IRIS 313-11907	trop1
1426	3K-IRRI	IRGC 128284	DUAN SHEN ZI::IRGC 73962-1	IRGC 73962	China				IRIS 313-11908	temp
1427	3K-IRRI	IRGC 127414	HONG MI JIU GONG JI::IRGC 74031-1	IRGC 74031	China				IRIS 313-11909	ind1A
1428	3K-IRRI	IRGC 127907	YU HE HONG::IRGC 74266-1	IRGC 74266	China				IRIS 313-11910	indx
1429	3K-IRRI	IRGC 127908	YUN NAN ZHAN::IRGC 74272-1	IRGC 74272	China				IRIS 313-11911	ind1A
1430	3K-IRRI	IRGC 127361	ESCONDE CACHO::IRGC 74305-1	IRGC 74305	Brazil				IRIS 313-11912	ind3
1431	3K-IRRI	IRGC 128245	BUAGKOG::IRGC 74318-1	IRGC 74318	Philippines				IRIS 313-11913	trop1
1432	3K-IRRI		IB 11::IRGC 74420-2	IRGC 74420	Burundi				IRIS 313-11914	ind2
1433	3K-IRRI	IRGC 128316	IB 95::IRGC 74677-1	IRGC 74677	Ghana				IRIS 313-11915	trop1
1434	3K-IRRI	IRGC 128395	MUDALIGA WEE::IRGC 74706-1	IRGC 74706	Sri Lanka				IRIS 313-11916	ind2
1435	3K-IRRI	IRGC 127241	BUTNAPAR::IRGC 74734-1	IRGC 74734	India				IRIS 313-11917	aus
1436	3K-IRRI	IRGC 128279	DILBAKSH::IRGC 74738-1	IRGC 74738	India				IRIS 313-11918	ind2
1437	3K-IRRI	IRGC 127542	LAKHA KUAR::IRGC 74760-1	IRGC 74760	India				IRIS 313-11919	ind2
1438	3K-IRRI	IRGC 127386	GI TAH::IRGC 74883-1	IRGC 74883	Thailand				IRIS 313-11920	indx
1439	3K-IRRI		KHAO GAHB BUA::IRGC 74937-1	IRGC 74937	Thailand				IRIS 313-11921	ind3
1440	3K-IRRI	IRGC 128340	KHAO' NAN::IRGC 74981-1	IRGC 74981	Thailand				IRIS 313-11922	trop2
1441	3K-IRRI	IRGC 128341	KHAO' NGAW::IRGC 74985-1	IRGC 74985	Thailand				IRIS 313-11923	trop2
1442	3K-IRRI	IRGC 128400	NAM JAM::IRGC 75069-1	IRGC 75069	Thailand				IRIS 313-11924	trop2
1443	3K-IRRI		SAWK GAM MAH::IRGC 75159-1	IRGC 75159	Thailand				IRIS 313-11925	ind3
1444	3K-IRRI	IRGC 128472	SI NAM PUENG::IRGC 75165-1	IRGC 75165	Thailand				IRIS 313-11926	trop2
1445	3K-IRRI	IRGC 127897	YAH TOW::IRGC 75191-1	IRGC 75191	Thailand				IRIS 313-11927	ind3
1446	3K-IRRI	IRGC 127307	DAYRON MARANGRAS::IRGC 75209-1	IRGC 75209	Philippines				IRIS 313-11928	trop1
1447	3K-IRRI	IRGC 127385	GILINGAN MARANGRAS::IRGC 75213-1	IRGC 75213	Philippines				IRIS 313-11929	trop1
1448	3K-IRRI	IRGC 127444	ITA 117::IRGC 75235-1	IRGC 75235	Nigeria				IRIS 313-11930	ind1B
1449	3K-IRRI		PEI ZAO 15::IRGC 75247-1	IRGC 75247	China				IRIS 313-11931	temp
1450	3K-IRRI	IRGC 127808	SINDANO 3::IRGC 75279-1	IRGC 75279	Kenya				IRIS 313-11932	ind2
1451	3K-IRRI	IRGC 128071	KANATO::IRGC 75306-2	IRGC 75306	Philippines				IRIS 313-11934	indx
1452	3K-IRRI		KONG KHSACH BANG KATT::IRGC 75350-1	IRGC 75350	Cambodia				IRIS 313-11935	ind3
1453	3K-IRRI		NEANG MINH TONN::IRGC 75366-2	IRGC 75366	Cambodia				IRIS 313-11936	ind3
1454	3K-IRRI	IRGC 127535	KUNJUKUNJU::IRGC 75448-1	IRGC 75448	India				IRIS 313-11937	indx
1455	3K-IRRI		GNASSOUMADOUGOU::IRGC 75595-1	IRGC 75595	Burkina Faso				IRIS 313-11938	indx
1456	3K-IRRI	IRGC 127484	KAMPTI::IRGC 75626-1	IRGC 75626	Burkina Faso				IRIS 313-11939	ind3
1457	3K-IRRI	IRGC 127599	MALOBA (DISSI ROUGE)::IRGC 75700-1	IRGC 75700	Burkina Faso				IRIS 313-11940	indx
1458	3K-IRRI	IRGC 128394	MOUI SAMBA::IRGC 75751-1	IRGC 75751	Burkina Faso				IRIS 313-11941	ind1B
1459	3K-IRRI	IRGC 127425	I 41::IRGC 75927-1	IRGC 75927	Nepal				IRIS 313-11943	ind1A
1460	3K-IRRI	IRGC 127426	I 814::IRGC 76028-1	IRGC 76028	Nepal				IRIS 313-11944	ind1A
1461	3K-IRRI	IRGC 127598	MALIKULI::IRGC 76237-1	IRGC 76237	Bangladesh				IRIS 313-11945	ind2
1462	3K-IRRI		BWANGA MOUI::IRGC 76262-1	IRGC 76262	Burkina Faso				IRIS 313-11946	trop1
1463	3K-IRRI	IRGC 127226	BIE LEI::IRGC 76478-1	IRGC 76478	China				IRIS 313-11947	indx
1464	3K-IRRI	IRGC 127417	HOU LU BAI::IRGC 76582-1	IRGC 76582	China				IRIS 313-11948	ind1A
1465	3K-IRRI	IRGC 127568	LIU HE XI HE::IRGC 76661-1	IRGC 76661	China				IRIS 313-11949	ind1A
1466	3K-IRRI	IRGC 127626	MI GU::IRGC 76687-1	IRGC 76687	China				IRIS 313-11950	ind1A
1467	3K-IRRI	IRGC 127625	MIAO ZHAN::IRGC 76691-1	IRGC 76691	China				IRIS 313-11951	ind1A
1468	3K-IRRI	IRGC 127756	QI YUE ZHAN::IRGC 76722-1	IRGC 76722	China				IRIS 313-11952	ind1A
1469	3K-IRRI	IRGC 127783	SAN BAO GU::IRGC 76732-1	IRGC 76732	China				IRIS 313-11953	ind1A
1470	3K-IRRI	IRGC 128504	XIA HONG GU::IRGC 76803-1	IRGC 76803	China				IRIS 313-11954	ind1A
1471	3K-IRRI	IRGC 127901	YE DA GU::IRGC 76834-1	IRGC 76834	China				IRIS 313-11955	ind1A
1472	3K-IRRI	IRGC 128325	JUNGEMARSI::IRGC 76901-1	IRGC 76901	Nepal				IRIS 313-11956	admix
1473	3K-IRRI	IRGC 127305	DAW LUEY 4-3::IRGC 76929-1	IRGC 76929	Thailand				IRIS 313-11957	indx
1474	3K-IRRI		PUANG MAHLAI KHAO::IRGC 76959-1	IRGC 76959	Thailand				IRIS 313-11958	ind3
1475	3K-IRRI		KAGIOS PUTI::IRGC 76965-1	IRGC 76965	Philippines				IRIS 313-11959	ind3
1476	3K-IRRI	IRGC 127740	PORONG::IRGC 76983-1	IRGC 76983	Indonesia				IRIS 313-11960	ind1B
1477	3K-IRRI	IRGC 127432	IN TOK::IRGC 77071-1	IRGC 77071	Thailand				IRIS 313-11961	ind3
1478	3K-IRRI		KHAO SETTI::IRGC 77084-1	IRGC 77084	Thailand				IRIS 313-11962	ind3
1479	3K-IRRI	IRGC 127491	KARANGI::IRGC 77128-1	IRGC 77128	India				IRIS 313-11963	aus
1480	3K-IRRI	IRGC 127888	VUOTTA SAIL::IRGC 77306-1	IRGC 77306	Bangladesh				IRIS 313-11964	ind2
1481	3K-IRRI	IRGC 128304	GUANG XUAN LIU HAO::IRGC 77341-1	IRGC 77341	China				IRIS 313-11965	ind1A
1482	3K-IRRI	IRGC 127752	QI GU::IRGC 77381-1	IRGC 77381	China				IRIS 313-11966	ind1A
1483	3K-IRRI	IRGC 127846	TANG DU GU::IRGC 77400-1	IRGC 77400	China				IRIS 313-11967	indx
1484	3K-IRRI	IRGC 127913	ZHAO DAN AI::IRGC 77422-1	IRGC 77422	China				IRIS 313-11968	ind1A
1485	3K-IRRI		SHYAMJIRA::IRGC 77522-1	IRGC 77522	India				IRIS 313-11969	ind2
1486	3K-IRRI	IRGC 127240	BUNTU DOMBA 1::IRGC 77554-1	IRGC 77554	Indonesia				IRIS 313-11970	trop1
1487	3K-IRRI		PARE LAMBAN BINGKA::IRGC 77601-1	IRGC 77601	Indonesia				IRIS 313-11971	trop1
1488	3K-IRRI		NOINJO::IRGC 77669-1	IRGC 77669	Korea, Republic of				IRIS 313-11973	temp
1489	3K-IRRI		NKUMBAN NDINGO::IRGC 77718-1	IRGC 77718	Liberia				IRIS 313-11974	ind3
1490	3K-IRRI		PA LOSSES 3::IRGC 77810-1	IRGC 77810	Sierra Leone				IRIS 313-11975	ind3
1491	3K-IRRI		PA MATIS::IRGC 77811-1	IRGC 77811	Sierra Leone				IRIS 313-11976	ind3
1492	3K-IRRI	IRGC 127601	MAMORIAKA::IRGC 77867-1	IRGC 77867	Madagascar				IRIS 313-11977	indx
1493	3K-IRRI	IRGC 127440	IR 5657-33-2::IRGC 77992-1	IRGC 77992	Philippines				IRIS 313-11978	ind1B
1494	3K-IRRI	IRGC 127435	IR 19661-364-1-2-3::IRGC 78061-1	IRGC 78061	Philippines				IRIS 313-11979	ind1B
1495	3K-IRRI	IRGC 127420	HSINCHU AI CHIO CHIENG::IRGC 78182-1	IRGC 78182	Taiwan				IRIS 313-11980	ind1A
1496	3K-IRRI		TAICHUNG 188::IRGC 78209-1	IRGC 78209	Taiwan				IRIS 313-11981	temp
1497	3K-IRRI	IRGC 127739	PORASHI::IRGC 78397-1	IRGC 78397	Bangladesh				IRIS 313-11982	aus
1498	3K-IRRI	IRGC 128337	KERIBAREFOR::IRGC 78454-1	IRGC 78454	Burkina Faso				IRIS 313-11983	ind2
1499	3K-IRRI		BLAU BLA::IRGC 78460-1	IRGC 78460	Viet Nam				IRIS 313-11984	temp
1500	3K-IRRI	IRGC 127567	LI TOU ZHAN::IRGC 78550-1	IRGC 78550	China				IRIS 313-11985	indx
1501	3K-IRRI	IRGC 127562	LIANG GUANG::IRGC 78551-1	IRGC 78551	China				IRIS 313-11986	ind1A
1502	3K-IRRI	IRGC 127433	IR 10120-7-2-1-4::IRGC 78628-1	IRGC 78628	Philippines				IRIS 313-11987	indx
1503	3K-IRRI		POTOQOIN::IRGC 78677-1	IRGC 78677	Sierra Leone				IRIS 313-11988	indx
1504	3K-IRRI		TAMBAS JANGKOK::IRGC 78724-1	IRGC 78724	Brunei Darussalam				IRIS 313-11989	ind3
1505	3K-IRRI	IRGC 127839	TAISEN GLUTINOUS YU 1157::IRGC 78750-1	IRGC 78750	Taiwan				IRIS 313-11990	ind1B
